Codigo;Producto;Cantidad; UnitPrice; Neto; Iva; Total;Despacho;Referencia;;
 BT20251125 ; CELLPHONE BATTERY ;42; 2.449,60 ; 102.883,17   ; 21.605,47   ; 124.488,63   ;251682S;SEBA69;;
 BT20251108 ; CELLPHONE BATTERY ;70; 1.406,46 ; 98.451,87   ; 20.674,89   ; 119.126,76   ;251682S;SEBA69;;
 BT20251110 ; CELLPHONE BATTERY ;28; 2.350,51 ; 65.814,40   ; 13.821,02   ; 79.635,42   ;251682S;SEBA69;;
 BT20251112 ; CELLPHONE BATTERY ;14; 2.449,60 ; 34.294,39   ; 7.201,82   ; 41.496,21   ;251682S;SEBA69;;
 BT20251113 ; CELLPHONE BATTERY ;14; 2.449,60 ; 34.294,39   ; 7.201,82   ; 41.496,21   ;251682S;SEBA69;;
 BT20251126 ; CELLPHONE BATTERY ;14; 2.449,60 ; 34.294,39   ; 7.201,82   ; 41.496,21   ;251682S;SEBA69;;
 BT20251127 ; CELLPHONE BATTERY ;14; 2.449,60 ; 34.294,39   ; 7.201,82   ; 41.496,21   ;251682S;SEBA69;;
 BT20251111 ; CELLPHONE BATTERY ;14; 2.273,45 ; 31.828,28   ; 6.683,94   ; 38.512,21   ;251682S;SEBA69;;
 CVS250840 ; CASES ;28000; 302,76 ; 8.477.264,70 ; 1.780.225,59   ; 10.257.490,28   ;251682S;SEBA69;;
 CV250848 ; CASES ;16000; 302,76 ; 4.844.151,25   ; 1.017.271,76   ; 5.861.423,02   ;251682S;SEBA69;;
 CVS250810 ; CASES ;15000; 302,76 ; 4.541.391,80   ; 953.692,28   ; 5.495.084,08   ;251682S;SEBA69;;
CV250877;CASES;13500; 302,76 ; 4.087.252,62   ; 858.323,05   ; 4.945.575,67   ;251682S;SEBA69;;
CV250812;CASES;13000; 302,76 ; 3.935.872,89   ; 826.533,31   ; 4.762.406,20   ;251682S;SEBA69;;
CV250881;CASES;5650; 302,76 ; 1.710.590,91   ; 359.224,09   ; 2.069.815,00   ;251682S;SEBA69;;
CV250864;CASES;3000; 302,76 ; 908.278,36   ; 190.738,46   ; 1.099.016,82   ;251682S;SEBA69;;
CV250863;CASES;3000; 302,76 ; 908.278,36   ; 190.738,46   ; 1.099.016,82   ;251682S;SEBA69;;
CV250815;CASES;3000; 302,76 ; 908.278,36   ; 190.738,46   ; 1.099.016,82   ;251682S;SEBA69;;
CV250865;CASES;3000; 302,76 ; 908.278,36   ; 190.738,46   ; 1.099.016,82   ;251682S;SEBA69;;
CV250813;CASES;3000; 302,76 ; 908.278,36   ; 190.738,46   ; 1.099.016,82   ;251682S;SEBA69;;
CV250842;CASES;3000; 302,76 ; 908.278,36   ; 190.738,46   ; 1.099.016,82   ;251682S;SEBA69;;
CV250832;CASES;1500; 302,76 ; 454.139,18   ; 95.369,23   ; 549.508,41   ;251682S;SEBA69;;
CV250823;CASES;1500; 302,76 ; 454.139,18   ; 95.369,23   ; 549.508,41   ;251682S;SEBA69;;
 CV250850 ; CASES ;1000; 302,76 ; 302.759,45   ; 63.579,49   ; 366.338,94   ;251682S;SEBA69;;
CV250829;CASES;1000; 302,76 ; 302.759,45   ; 63.579,49   ; 366.338,94   ;251682S;SEBA69;;
CV250837;CASES;1000; 302,76 ; 302.759,45   ; 63.579,49   ; 366.338,94   ;251682S;SEBA69;;
CV250838;CASES;1000; 302,76 ; 302.759,45   ; 63.579,49   ; 366.338,94   ;251682S;SEBA69;;
CV250814;CASES;1000; 302,76 ; 302.759,45   ; 63.579,49   ; 366.338,94   ;251682S;SEBA69;;
 CV250853 ; CASES ;1000; 302,76 ; 302.759,45   ; 63.579,49   ; 366.338,94   ;251682S;SEBA69;;
 CV250847 ; CASES ;1000; 302,76 ; 302.759,45   ; 63.579,49   ; 366.338,94   ;251682S;SEBA69;;
 CV250859 ; CASES ;1000; 302,76 ; 302.759,45   ; 63.579,49   ; 366.338,94   ;251682S;SEBA69;;
 GMLT251115 ; CASES ;875; 330,28 ; 288.997,66   ; 60.689,51   ; 349.687,17   ;251682S;SEBA69;;
 GMLT251116 ; CASES ;875; 330,28 ; 288.997,66   ; 60.689,51   ; 349.687,17   ;251682S;SEBA69;;
 GMLT251117 ; CASES ;850; 330,28 ; 280.740,58   ; 58.955,52   ; 339.696,11   ;251682S;SEBA69;;
 GMLT251103 ; CASES ;525; 330,28 ; 173.398,60   ; 36.413,71   ; 209.812,30   ;251682S;SEBA69;;
 GMLT251106 ; CASES ;525; 330,28 ; 173.398,60   ; 36.413,71   ; 209.812,30   ;251682S;SEBA69;;
 GMLT251113 ; CASES ;525; 330,28 ; 173.398,60   ; 36.413,71   ; 209.812,30   ;251682S;SEBA69;;
 GMLT251114 ; CASES ;525; 330,28 ; 173.398,60   ; 36.413,71   ; 209.812,30   ;251682S;SEBA69;;
 GMLT251109 ; CASES ;475; 330,28 ; 156.884,44   ; 32.945,73   ; 189.830,18   ;251682S;SEBA69;;
 CV250862 ; CASES ;500; 302,76 ; 151.379,73   ; 31.789,74   ; 183.169,47   ;251682S;SEBA69;;
 CV250854 ; CASES ;500; 302,76 ; 151.379,73   ; 31.789,74   ; 183.169,47   ;251682S;SEBA69;;
CV250836;CASES;500; 302,76 ; 151.379,73   ; 31.789,74   ; 183.169,47   ;251682S;SEBA69;;
 GMLT251110 ; CASES ;425; 330,28 ; 140.370,29   ; 29.477,76   ; 169.848,05   ;251682S;SEBA69;;
 GMLT251107 ; CASES ;350; 330,28 ; 115.599,06   ; 24.275,80   ; 139.874,87   ;251682S;SEBA69;;
 GMLT251111 ; CASES ;350; 330,28 ; 115.599,06   ; 24.275,80   ; 139.874,87   ;251682S;SEBA69;;
 GMLT251112 ; CASES ;350; 330,28 ; 115.599,06   ; 24.275,80   ; 139.874,87   ;251682S;SEBA69;;
 GMLT251104 ; CASES ;300; 330,28 ; 99.084,91   ; 20.807,83   ; 119.892,74   ;251682S;SEBA69;;
 GMLT251108 ; CASES ;275; 330,28 ; 90.827,84   ; 19.073,85   ; 109.901,68   ;251682S;SEBA69;;
CV250821;CASES;295; 302,76 ; 89.314,04   ; 18.755,95   ; 108.069,99   ;251682S;SEBA69;;
 GMLT251101 ; CASES ;250; 330,28 ; 82.570,76   ; 17.339,86   ; 99.910,62   ;251682S;SEBA69;;
 GMLT251105 ; CASES ;250; 330,28 ; 82.570,76   ; 17.339,86   ; 99.910,62   ;251682S;SEBA69;;
 GMLT251102 ; CASES ;175; 330,28 ; 57.799,53   ; 12.137,90   ; 69.937,43   ;251682S;SEBA69;;
CVGP250815;TEMPERED GLASS; 10.850 ; 194,94 ; 2.115.056,20   ; 444.161,80   ; 2.559.218,00   ;262811Y;SEBA68;;
CVGP250819;TEMPERED GLASS; 7.000 ; 194,94 ; 1.364.552,39   ; 286.556,00   ; 1.651.108,39   ;262811Y;SEBA68;;
CVGP250817;TEMPERED GLASS; 7.000 ; 194,94 ; 1.364.552,39   ; 286.556,00   ; 1.651.108,39   ;262811Y;SEBA68;;
CVGP250818;TEMPERED GLASS; 7.000 ; 194,94 ; 1.364.552,39   ; 286.556,00   ; 1.651.108,39   ;262811Y;SEBA68;;
CVGP250816;TEMPERED GLASS; 5.950 ; 194,94 ; 1.159.869,53   ; 243.572,60   ; 1.403.442,13   ;262811Y;SEBA68;;
CVGP250813;TEMPERED GLASS; 3.850 ; 194,94 ; 750.503,81   ; 157.605,80   ; 908.109,61   ;262811Y;SEBA68;;
CVGP250810;TEMPERED GLASS; 3.500 ; 194,94 ; 682.276,19   ; 143.278,00   ; 825.554,19   ;262811Y;SEBA68;;
CVGM250816;TEMPERED GLASS; 3.360 ; 194,94 ; 654.985,15   ; 137.546,88   ; 792.532,03   ;262811Y;SEBA68;;
CVGP250804;TEMPERED GLASS; 3.150 ; 194,94 ; 614.048,57   ; 128.950,20   ; 742.998,78   ;262811Y;SEBA68;;
CVGD250817;TEMPERED GLASS; 2.824 ; 194,94 ; 550.499,42   ; 115.604,88   ; 666.104,30   ;262811Y;SEBA68;;
CVGP250801;TEMPERED GLASS; 2.800 ; 194,94 ; 545.820,96   ; 114.622,40   ; 660.443,36   ;262811Y;SEBA68;;
CVGP250807;TEMPERED GLASS; 2.800 ; 194,94 ; 545.820,96   ; 114.622,40   ; 660.443,36   ;262811Y;SEBA68;;
CVGM250811;TEMPERED GLASS; 2.800 ; 194,94 ; 545.820,96   ; 114.622,40   ; 660.443,36   ;262811Y;SEBA68;;
CVGD250827;TEMPERED GLASS; 2.800 ; 194,94 ; 545.820,96   ; 114.622,40   ; 660.443,36   ;262811Y;SEBA68;;
CVGD250812;TEMPERED GLASS; 2.800 ; 194,94 ; 545.820,96   ; 114.622,40   ; 660.443,36   ;262811Y;SEBA68;;
CVGM250835;TEMPERED GLASS; 2.240 ; 194,94 ; 436.656,76   ; 91.697,92   ; 528.354,68   ;262811Y;SEBA68;;
CVGM250836;TEMPERED GLASS; 2.240 ; 194,94 ; 436.656,76   ; 91.697,92   ; 528.354,68   ;262811Y;SEBA68;;
CVGM250837;TEMPERED GLASS; 2.240 ; 194,94 ; 436.656,76   ; 91.697,92   ; 528.354,68   ;262811Y;SEBA68;;
CVGD250834;TEMPERED GLASS; 2.240 ; 194,94 ; 436.656,76   ; 91.697,92   ; 528.354,68   ;262811Y;SEBA68;;
